\AGM@{a}{g},arithmetic-geometric mean,arithmetic-geometric-mean,F|F:P,$M$,http://dlmf.nist.gov/19.8#SS1.p1,
\AThetaFunction@{x},Jacobi theta function $\vartheta$,a-theta-function,F|F:P,$\vartheta$,http://dlmf.nist.gov/23.1,
\AbstractJacobi{p}{q},generic Jacobian elliptic function,generic-Jacobian-elliptic-function,F|F,$\mathrm{pq}$,http://dlmf.nist.gov/22.2#E10,
\Acos@@{z},general inverse cosine function,multivalued-inverse-cosine,F|F:P:nP,$\mathrm{Arccos}$,http://dlmf.nist.gov/4.23#E2,
\Acosh@@{z},general inverse hyperbolic cosine function,multivalued-hyperbolic-inverse-cosine,F|F:P:nP,$\mathrm{Arccosh}$,http://dlmf.nist.gov/4.37#E2,
\Acot@@{z},general inverse cotangent function,multivalued-inverse-cotangent,F|F:P:nP,$\mathrm{Arccot}$,http://dlmf.nist.gov/4.23#E6,
\Acoth@@{z},general inverse hyperbolic cotangent function,multivalued-hyperbolic-inverse-cotangent,F|F:P:nP,$\mathrm{Arccoth}$,http://dlmf.nist.gov/4.37#E6,
\Acsc@@{z},general inverse cosecant function,multivalued-inverse-cosecant,F|F:P:nP,$\mathrm{Arccsc}$,http://dlmf.nist.gov/4.23#E4,
\Acsch@@{z},general inverse hyperbolic cosecant function,multivalued-hyperbolic-inverse-cosecant,F|F:P:nP,$\mathrm{Arccsch}$,http://dlmf.nist.gov/4.37#E4,
\AffqKrawtchouk{n}@@{q^{-x}}{p}{N}{q},affine $q$-Krawtchouk polynomial,affine-q-Krawtchouk-polynomial-K,P|F:P:PS,$K^{\mathrm{Aff}}_{n}$,http://drmf.wmflabs.org/wiki/Definition:AffqKrawtchouk,
\AiryAi@{z},Airy function ${\rm Ai}$,Airy-Ai,F|F:P,$\mathrm{Ai}$,http://dlmf.nist.gov/9.2#i,
\AiryBi@{z},Airy function ${\rm Bi}$,Airy-Bi,F|F:P,$\mathrm{Bi}$,http://dlmf.nist.gov/9.2#i,
\AiryModulusM@{z},Airy modulus function $M$,modulus-Airy-M,F|F:P,$M$,http://dlmf.nist.gov/9.8#i,
\AiryModulusN@{z},Airy modulus function $N$,modulus-Airy-N,F|F:P,$N$,http://dlmf.nist.gov/9.8#i,
\AiryPhasePhi@{z},Airy phase function $\phi$,phase-Airy-Phi,F|F:P,$\phi$,http://dlmf.nist.gov/9.8#i,
